Sensors,Links,Target_Type,Num_Targets,Method,RMSE,PSNR,SSIM,FSIM
16,120,solid,1,Tikhonov,0.24154798451633683,12.3399316385718,0.10310505902613899,0.3318352585369645
16,120,solid,1,Fused-L1,0.13756464658381473,17.229863264789252,0.14014038195892373,0.4970782979867812
16,120,solid,2,Tikhonov,0.2670939053832263,11.466720434153768,0.20617964147221415,0.3368286194193929
16,120,solid,2,Fused-L1,0.239244297745789,12.42316809188344,0.2433059212365135,0.4511530993738681
16,120,solid,3,Tikhonov,0.3273209586300442,9.700523711379848,0.27188580647322325,0.3386754863559562
16,120,solid,3,Fused-L1,0.2544902852581078,11.88657582955613,0.3281007118854326,0.5111424496736385
16,120,solid,5,Tikhonov,0.31467079350999116,10.042871294012535,0.4057677365594561,0.3819283829682557
16,120,solid,5,Fused-L1,0.22124685295359173,13.102457961042038,0.5424444452378674,0.4872678122387412
16,120,smooth,1,Tikhonov,0.2324886281958473,12.67196570129348,0.11426265129618625,0.4742747174844947
16,120,smooth,1,Fused-L1,0.2280505545706353,12.839377346191716,0.12717575377820264,0.6035384943400299
16,120,smooth,2,Tikhonov,0.2620048012147088,11.633815003990637,0.21954352070365213,0.556983638781513
16,120,smooth,2,Fused-L1,0.13477302608897107,17.407940404224384,0.30253308146966906,0.657634384924101
16,120,smooth,3,Tikhonov,0.27883005693181917,11.093208251649713,0.3257411722956097,0.6192451607270174
16,120,smooth,3,Fused-L1,0.2759676920273185,11.182835169967444,0.3466179757375003,0.6945915066653809
16,120,smooth,5,Tikhonov,0.32109253508467955,9.867395820106681,0.45015420290864694,0.6359884686950663
16,120,smooth,5,Fused-L1,0.2591053162448752,11.730473523986491,0.5455612246226601,0.689510196595636
24,276,solid,1,Tikhonov,0.23134891515730632,12.714650653110965,0.11516674480229454,0.3061924067552743
24,276,solid,1,Fused-L1,0.24394664770209432,12.25410291110689,0.12298396620545558,0.388351295817713
24,276,solid,2,Tikhonov,0.26691881192921896,11.472416337727038,0.20972891141729078,0.3436525837884229
24,276,solid,2,Fused-L1,0.27894366519436203,11.089669939230461,0.21437169605338516,0.3748599651348099
24,276,solid,3,Tikhonov,0.29828246493423777,10.507445533237316,0.3004317981707744,0.3641694983294905
24,276,solid,3,Fused-L1,0.3999789756231825,7.959256723981084,0.2439398191167666,0.38685054754844883
24,276,solid,5,Tikhonov,0.36533871519208405,8.746086057356418,0.39241461880494233,0.4307620341472756
24,276,solid,5,Fused-L1,0.38985027508440956,8.182043099965316,0.34982393889623853,0.4460143413176711
24,276,smooth,1,Tikhonov,0.23583693986741855,12.54776338056911,0.12176351519958731,0.46294555564297246
24,276,smooth,1,Fused-L1,0.2266854169875342,12.891528355789468,0.1292304232182758,0.5047386672848512
24,276,smooth,2,Tikhonov,0.26570350883205573,11.512054206763382,0.22211385513620152,0.5419639301420712
24,276,smooth,2,Fused-L1,0.3078681210665241,10.232705576380432,0.21391689678317113,0.5379439039500364
24,276,smooth,3,Tikhonov,0.31109482208469186,10.142144346052238,0.30221781491280103,0.6348473158155848
24,276,smooth,3,Fused-L1,0.3551682517887712,8.991317248025325,0.26974149805294045,0.6580564340266225
24,276,smooth,5,Tikhonov,0.3369075491833622,9.449785150995293,0.41601166380271937,0.6175025391239775
24,276,smooth,5,Fused-L1,0.338230433540973,9.415746354383414,0.40895964701994764,0.6777751888669691
32,496,solid,1,Tikhonov,0.2650214703146665,11.534378818511275,0.10778257720413209,0.3165572575472173
32,496,solid,1,Fused-L1,0.24788355046670074,12.11504584048643,0.11485626461857623,0.33327191241492105
32,496,solid,2,Tikhonov,0.31045120693130546,10.160132948436809,0.1967341901090052,0.35102425082803634
32,496,solid,2,Fused-L1,0.30329237832635175,10.36277006562309,0.2042131677179307,0.35981073309703054
32,496,solid,3,Tikhonov,0.41825549229039144,7.571166948459048,0.20707733177447954,0.3794321307749277
32,496,solid,3,Fused-L1,0.4127444268906789,7.686375642319279,0.20898716474861384,0.3922733628331245
32,496,solid,5,Tikhonov,0.37281937612860033,8.570030492506099,0.35906179412237915,0.4158842882957443
32,496,solid,5,Fused-L1,0.3885896711367628,8.210174945950893,0.33972364551105655,0.3906768074523667
32,496,smooth,1,Tikhonov,0.2711069704373089,11.337186322418848,0.11142642684912264,0.4195400695262794
32,496,smooth,1,Fused-L1,0.2393992545280867,12.417544125780335,0.1195739101685927,0.4502437494492118
32,496,smooth,2,Tikhonov,0.3208749603057211,9.873283440909878,0.18682326666589988,0.48335549397945954
32,496,smooth,2,Fused-L1,0.277140029923502,11.14601480955892,0.20533045591294374,0.48105412625765837
32,496,smooth,3,Tikhonov,0.3077247412644747,10.23675169593657,0.28609632326874934,0.5751619184101352
32,496,smooth,3,Fused-L1,0.3197385870297528,9.904098971604554,0.2814398182003214,0.581697883001944
32,496,smooth,5,Tikhonov,0.3384602989978602,9.409845324648812,0.37378953075904353,0.6105936587815929
32,496,smooth,5,Fused-L1,0.341906459594642,9.32185388112529,0.36728913084911624,0.6112237352972139
